time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,size_array,fopts_size
2020-05-01T00:04:17.920681Z,04a0465c,QFxGoASAfwABhv4rTOOoylTzIsw3eO4JnMHmkUp7JS6S,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-111,-3.8,-1,10,127,1.0,33,0.0
2020-05-01T00:04:18.235274Z,2601297d,QH0pASaAVrgFCtqV98TdGSyWGzpehL5n+u6oh80=,0000024b0b031c97,1,868100000,12.0,125.0,4/5,-92,5.0,-1,10,47190,5.0,29,0.0
2020-05-01T00:04:20.909169Z,26012803,QAMoASaAFD59UtjbROl9lzBtE/Tb,0000024b0b031c97,1,867100000,12.0,125.0,4/5,-102,-10.2,-1,10,15892,125.0,21,0.0
2020-05-01T00:04:21.618208Z,-1,AGNjbm9icmFjiBkE/v9YF6jJ5C/mFwE=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-97,-1.2,-1,0,-1,-1.0,23,2.0
2020-05-01T00:04:24.375392Z,270082a4,QKSCACeArQABFGqHPTj50PmAQ4Sms0NDoRb4iMG2nvU+TNIM,0000024b0b031c97,1,868100000,11.0,125.0,4/5,-83,7.5,-1,10,173,1.0,36,0.0
2020-05-01T00:04:28.960830Z,-1,AGNjbm9icmFjiBkE/v9YF6jQHQdvySQ=,0000024b0b031c97,1,868500000,10.0,125.0,4/5,-99,4.0,-1,0,-1,-1.0,23,2.0
2020-05-01T00:04:39.088211Z,26012682,QIImASYALdQBSvCSbu3itBrmEg==,0000024b0b031c97,1,867500000,7.0,125.0,4/5,-81,7.8,-1,10,54317,1.0,19,0.0
2020-05-01T00:04:39.883561Z,27007d8d,QI19ACcAAwACqmi5eT5OjTz5CJ53HBV308vgEXra,0000024b0b031c97,1,867100000,8.0,125.0,4/5,-100,-2.0,-1,10,3,2.0,30,0.0
2020-05-01T00:04:44.466863Z,27000218,QBgCACeA7TYPlgoQhc9imMcdbehm,0000024b0b031c97,1,867300000,8.0,125.0,4/5,-109,-9.0,-1,10,14061,15.0,21,0.0
2020-05-01T00:04:45.880967Z,048058e9,QOlYgASADwgBOWBNbAnKBQEE5fVmCDzo4pm5mEy/L57SPzELN7psxQ==,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-102,3.2,-1,10,2063,1.0,40,0.0
